neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews
Brooklyn,Williamsburg,Entire home/apt,295,3,11
Manhattan,Washington Heights,Private room,70,2,2
Brooklyn,Bedford-Stuyvesant,Private room,58,2,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,75,3,87
Queens,Woodside,Private room,38,5,13
Manhattan,Hell's Kitchen,Entire home/apt,100,30,3
Manhattan,Upper East Side,Entire home/apt,260,7,1
Manhattan,West Village,Entire home/apt,147,1,42
Brooklyn,Greenpoint,Private room,34,1,0
Brooklyn,Crown Heights,Private room,65,1,0
Manhattan,East Village,Entire home/apt,125,30,6
Manhattan,Theater District,Entire home/apt,310,30,0
Brooklyn,Bushwick,Private room,50,1,0
Manhattan,East Village,Private room,79,1,4
Brooklyn,Boerum Hill,Entire home/apt,329,30,1
Queens,Elmhurst,Private room,115,1,0
Brooklyn,Bushwick,Entire home/apt,140,3,3
Brooklyn,Fort Greene,Entire home/apt,225,3,95
Manhattan,Harlem,Private room,149,1,0
Brooklyn,Sheepshead Bay,Private room,50,2,7
Manhattan,Harlem,Private room,88,30,0
Queens,Flushing,Entire home/apt,200,2,1
Brooklyn,Williamsburg,Entire home/apt,160,14,4
Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,2,51
Manhattan,Washington Heights,Private room,75,4,14
Queens,Jackson Heights,Private room,80,2,5
Brooklyn,Fort Greene,Entire home/apt,140,2,1
Brooklyn,Fort Greene,Entire home/apt,134,2,15
Brooklyn,Prospect-Lefferts Gardens,Private room,65,10,1
Brooklyn,Greenpoint,Entire home/apt,159,30,7
Manhattan,East Village,Entire home/apt,300,2,16
Queens,Jamaica,Private room,95,1,0
Manhattan,Murray Hill,Private room,70,15,0
Brooklyn,Clinton Hill,Entire home/apt,248,2,58
Manhattan,Washington Heights,Entire home/apt,750,1,1
Brooklyn,Bushwick,Private room,90,2,3
Brooklyn,Williamsburg,Entire home/apt,80,30,5
Manhattan,Washington Heights,Entire home/apt,85,7,0
Brooklyn,Flatbush,Private room,50,3,3
Brooklyn,Williamsburg,Entire home/apt,295,2,4
Manhattan,Lower East Side,Private room,80,14,0
Manhattan,East Village,Private room,109,3,0
Manhattan,West Village,Private room,100,3,16
Brooklyn,Bedford-Stuyvesant,Private room,45,2,27
Queens,Ditmars Steinway,Entire home/apt,135,3,38
Bronx,Port Morris,Entire home/apt,115,4,9
Manhattan,Upper East Side,Private room,185,5,7
Brooklyn,Greenpoint,Entire home/apt,150,3,3
Manhattan,Kips Bay,Entire home/apt,290,30,0
Brooklyn,Canarsie,Private room,80,1,5
Brooklyn,Bushwick,Private room,65,1,26
Brooklyn,Prospect-Lefferts Gardens,Private room,45,31,3
Brooklyn,East Flatbush,Entire home/apt,80,1,127
Queens,Richmond Hill,Private room,75,1,5
Manhattan,Harlem,Private room,69,7,15
Queens,Astoria,Private room,65,4,28
Brooklyn,Bedford-Stuyvesant,Private room,60,4,0
Manhattan,Gramercy,Entire home/apt,195,3,3
Manhattan,Harlem,Private room,69,15,19
Queens,Ditmars Steinway,Entire home/apt,160,5,2
Brooklyn,Williamsburg,Entire home/apt,150,3,12
Manhattan,East Village,Private room,250,1,0
Brooklyn,Clinton Hill,Entire home/apt,90,3,0
Manhattan,Midtown,Entire home/apt,235,2,4
Manhattan,Theater District,Private room,100,1,0
Manhattan,Upper East Side,Entire home/apt,239,1,0
Manhattan,Harlem,Entire home/apt,65,1,0
Bronx,Mott Haven,Entire home/apt,115,3,19
Queens,Rosedale,Entire home/apt,60,1,30
Brooklyn,Bushwick,Private room,60,7,1
Manhattan,East Village,Private room,45,14,0
Manhattan,Lower East Side,Entire home/apt,300,1,2
Queens,Woodside,Private room,35,5,9
Brooklyn,Bushwick,Private room,69,4,5
Manhattan,East Village,Entire home/apt,198,30,5
Manhattan,East Village,Entire home/apt,100,5,3
Bronx,Longwood,Private room,60,2,47
Brooklyn,Bedford-Stuyvesant,Private room,225,1,0
Brooklyn,East Flatbush,Entire home/apt,325,2,19
Manhattan,Upper West Side,Entire home/apt,350,2,9
Brooklyn,Greenpoint,Private room,45,1,0
Manhattan,Murray Hill,Entire home/apt,200,6,2
Brooklyn,Fort Greene,Entire home/apt,100,4,45
Brooklyn,Flatlands,Entire home/apt,125,2,64
Brooklyn,Cypress Hills,Private room,68,2,5
Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,5,47
Brooklyn,Williamsburg,Private room,55,3,2
Queens,Long Island City,Entire home/apt,65,15,1
Manhattan,Upper West Side,Entire home/apt,300,5,3
Manhattan,Gramercy,Entire home/apt,100,3,52
Manhattan,Midtown,Private room,98,3,98
Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,1,3
Manhattan,Upper West Side,Entire home/apt,165,2,0
Brooklyn,Bushwick,Private room,55,7,4
Bronx,Fordham,Private room,149,1,0
Manhattan,Lower East Side,Private room,102,2,6
Manhattan,Harlem,Private room,85,1,52
Brooklyn,Clinton Hill,Private room,89,1,15
Brooklyn,Windsor Terrace,Private room,45,2,26
Manhattan,Tribeca,Entire home/apt,299,4,3
